Year,Country of Origin (ISO),Country of Origin,Country of Asylum,Country of Asylum (ISO),Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons)
2003,SOM,Somalia,LEB,Lebanon,AUS,Australia,3
2003,AFG,Afghanistan,LEB,Lebanon,FIN,Finland,1
2003,SUD,Sudan,LEB,Lebanon,FIN,Finland,145
2003,IRQ,Iraq,JOR,Jordan,USA,United States of America,36
2003,All others,All others,All others,All others,IRL,Ireland,39
2003,IRQ,Iraq,JOR,Jordan,GBR,United Kingdom of Great Britain and Northern Ireland,18
2003,SUD,Sudan,ARE,Egypt,NLD,Netherlands,2
2003,IRQ,Iraq,SAU,Saudi Arabia,NLD,Netherlands,2
2003,SOM,Somalia,SYR,Syrian Arab Rep.,USA,United States of America,103
2003,SUD,Sudan,SYR,Syrian Arab Rep.,USA,United States of America,107
2003,SYR,Syrian Arab Rep.,ARE,Egypt,CAN,Canada,5
2003,All others,All others,All others,All others,KOR,Rep. of Korea,4
2003,IRQ,Iraq,LEB,Lebanon,FIN,Finland,5
2003,IRQ,Iraq,SYR,Syrian Arab Rep.,USA,United States of America,6
2003,SUD,Sudan,LEB,Lebanon,USA,United States of America,28
2003,SUD,Sudan,SYR,Syrian Arab Rep.,SWE,Sweden,5
2003,SUD,Sudan,ARE,Egypt,AUS,Australia,627
2003,SOM,Somalia,SAU,Saudi Arabia,CAN,Canada,4
2003,All others,All others,All others,All others,NLD,Netherlands,131
2003,SOM,Somalia,JOR,Jordan,USA,United States of America,43
2003,ERT,Eritrea,LEB,Lebanon,CAN,Canada,2
2003,SOM,Somalia,SYR,Syrian Arab Rep.,GBR,United Kingdom of Great Britain and Northern Ireland,6
2003,IRQ,Iraq,SAU,Saudi Arabia,NOR,Norway,2
2003,IRQ,Iraq,LEB,Lebanon,SWE,Sweden,1
2003,IRQ,Iraq,JOR,Jordan,DNK,Denmark,10
2003,SOM,Somalia,ARE,Egypt,CAN,Canada,23
2003,All others,All others,All others,All others,NOR,Norway,1165
2004,SYR,Syrian Arab Rep.,UAE,United Arab Emirates,SWE,Sweden,29
2004,IRQ,Iraq,JOR,Jordan,DNK,Denmark,1
2004,All others,All others,All others,All others,DNK,Denmark,248
2004,SYR,Syrian Arab Rep.,SAU,Saudi Arabia,DNK,Denmark,5
2004,SUD,Sudan,LEB,Lebanon,BRA,Brazil,5
2004,IRQ,Iraq,LEB,Lebanon,SWE,Sweden,6
2004,SYR,Syrian Arab Rep.,UAE,United Arab Emirates,DNK,Denmark,7
2004,SOM,Somalia,ARE,Egypt,CAN,Canada,9
2004,SUD,Sudan,JOR,Jordan,AUS,Australia,1
2004,SOM,Somalia,LEB,Lebanon,SWE,Sweden,1
2004,SUD,Sudan,LEB,Lebanon,SWE,Sweden,56
2004,All others,All others,All others,All others,FIN,Finland,259
2004,IRQ,Iraq,LEB,Lebanon,NLD,Netherlands,9
2004,SYR,Syrian Arab Rep.,UAE,United Arab Emirates,CAN,Canada,4
2004,AFG,Afghanistan,SYR,Syrian Arab Rep.,CAN,Canada,142
2004,SOM,Somalia,ALG,Algeria,CAN,Canada,2
2004,SOM,Somalia,SYR,Syrian Arab Rep.,SWE,Sweden,1
2004,IRQ,Iraq,SYR,Syrian Arab Rep.,CAN,Canada,62
2004,ERT,Eritrea,LBY,Libya,NLD,Netherlands,2
2004,All others,All others,All others,All others,FRA,France,1
2004,SOM,Somalia,YEM,Yemen,USA,United States of America,113
2004,SUD,Sudan,LEB,Lebanon,CAN,Canada,35
2004,IRQ,Iraq,LEB,Lebanon,GBR,United Kingdom of Great Britain and Northern Ireland,1
2004,SUD,Sudan,SYR,Syrian Arab Rep.,NOR,Norway,13
2004,SOM,Somalia,LEB,Lebanon,FIN,Finland,8
2004,All others,All others,All others,All others,GBR,United Kingdom of Great Britain and Northern Ireland,46
2004,IRQ,Iraq,LEB,Lebanon,NOR,Norway,16
2004,IRQ,Iraq,ALG,Algeria,CAN,Canada,2
2004,AFG,Afghanistan,LEB,Lebanon,AUS,Australia,1
2004,SOM,Somalia,ARE,Egypt,USA,United States of America,493
2004,SOM,Somalia,LEB,Lebanon,CAN,Canada,42
2004,All others,All others,All others,All others,AUS,Australia,2718
2004,SYR,Syrian Arab Rep.,JOR,Jordan,NLD,Netherlands,7
2004,All others,All others,All others,All others,IRL,Ireland,8
2004,SYR,Syrian Arab Rep.,JOR,Jordan,AUS,Australia,4
2004,SOM,Somalia,LEB,Lebanon,GBR,United Kingdom of Great Britain and Northern Ireland,2
2004,IRQ,Iraq,JOR,Jordan,BRA,Brazil,10
2004,COD,Dem. Rep. of the Congo,SYR,Syrian Arab Rep.,CAN,Canada,11
2004,IRQ,Iraq,SYR,Syrian Arab Rep.,SWE,Sweden,54
2004,IRQ,Iraq,LEB,Lebanon,AUS,Australia,10
2004,SOM,Somalia,SYR,Syrian Arab Rep.,BRA,Brazil,4
2004,All others,All others,All others,All others,BEL,Belgium,12
2004,IRQ,Iraq,SYR,Syrian Arab Rep.,GBR,United Kingdom of Great Britain and Northern Ireland,2
2004,SUD,Sudan,SYR,Syrian Arab Rep.,CAN,Canada,18
2004,IRQ,Iraq,JOR,Jordan,SWE,Sweden,5
2004,AFG,Afghanistan,SYR,Syrian Arab Rep.,AUS,Australia,32
2004,SUD,Sudan,ARE,Egypt,CAN,Canada,657
2004,All others,All others,All others,All others,KOR,Rep. of Korea,1
2004,SOM,Somalia,YEM,Yemen,BEL,Belgium,4
2004,IRQ,Iraq,SYR,Syrian Arab Rep.,DNK,Denmark,1
2004,COD,Dem. Rep. of the Congo,SYR,Syrian Arab Rep.,SWE,Sweden,6
2004,SUD,Sudan,LEB,Lebanon,AUS,Australia,5
2004,ERT,Eritrea,LBY,Libya,ITA,Italy,1
2004,SYR,Syrian Arab Rep.,UAE,United Arab Emirates,NLD,Netherlands,34
2004,All others,All others,All others,All others,BRA,Brazil,164
2004,AFG,Afghanistan,SYR,Syrian Arab Rep.,USA,United States of America,107
2004,SUD,Sudan,ARE,Egypt,FIN,Finland,350
2004,All others,All others,All others,All others,NLD,Netherlands,259
2004,IRQ,Iraq,JOR,Jordan,NLD,Netherlands,5
2004,ERT,Eritrea,ARE,Egypt,CAN,Canada,11
2004,IRQ,Iraq,JOR,Jordan,AUS,Australia,82
2004,ERT,Eritrea,LBY,Libya,SWE,Sweden,4
2004,SOM,Somalia,SYR,Syrian Arab Rep.,CAN,Canada,119
2004,All others,All others,All others,All others,CAN,Canada,2376
2004,SUD,Sudan,ARE,Egypt,USA,United States of America,2029
2004,All others,All others,All others,All others,NOR,Norway,641
2004,SUD,Sudan,SYR,Syrian Arab Rep.,GBR,United Kingdom of Great Britain and Northern Ireland,5
2004,ERT,Eritrea,ARE,Egypt,USA,United States of America,10
2004,IRQ,Iraq,LEB,Lebanon,BRA,Brazil,146
2004,IRQ,Iraq,JOR,Jordan,CAN,Canada,5
2004,SOM,Somalia,LEB,Lebanon,AUS,Australia,3
2004,AFG,Afghanistan,LEB,Lebanon,BRA,Brazil,3
2004,All others,All others,All others,All others,CHE,Switzerland,10
2004,AFG,Afghanistan,SYR,Syrian Arab Rep.,SWE,Sweden,104
2004,SUD,Sudan,LEB,Lebanon,FIN,Finland,156
2004,IRQ,Iraq,SYR,Syrian Arab Rep.,AUS,Australia,2
2004,All others,All others,All others,All others,NZL,New Zealand,25
2004,ERT,Eritrea,LBY,Libya,DNK,Denmark,3
2004,IRQ,Iraq,LEB,Lebanon,CAN,Canada,8
2004,AFG,Afghanistan,LEB,Lebanon,CAN,Canada,1
2004,All others,All others,All others,All others,CHL,Chile,163
2004,AFG,Afghanistan,LEB,Lebanon,SWE,Sweden,34
2004,SOM,Somalia,SYR,Syrian Arab Rep.,USA,United States of America,113
2004,SOM,Somalia,SYR,Syrian Arab Rep.,NOR,Norway,9
2004,SUD,Sudan,SYR,Syrian Arab Rep.,USA,United States of America,109
2004,All others,All others,All others,All others,SWE,Sweden,856
2004,SYR,Syrian Arab Rep.,SAU,Saudi Arabia,SWE,Sweden,5
2004,IRQ,Iraq,LEB,Lebanon,FIN,Finland,8
2004,All others,All others,All others,All others,DEU,Germany,1
2004,ERT,Eritrea,ARE,Egypt,AUS,Australia,4
2004,ERT,Eritrea,SYR,Syrian Arab Rep.,AUS,Australia,3
2004,SUD,Sudan,SYR,Syrian Arab Rep.,SWE,Sweden,19
2004,ERT,Eritrea,LBY,Libya,NOR,Norway,2
2004,SUD,Sudan,ARE,Egypt,AUS,Australia,625
2004,All others,All others,All others,All others,USA,United States of America,7164
2004,SOM,Somalia,SYR,Syrian Arab Rep.,GBR,United Kingdom of Great Britain and Northern Ireland,13
2004,ERT,Eritrea,SYR,Syrian Arab Rep.,USA,United States of America,2
2004,ERT,Eritrea,JOR,Jordan,CAN,Canada,1
2004,IRQ,Iraq,SYR,Syrian Arab Rep.,BRA,Brazil,14
2004,SOM,Somalia,JOR,Jordan,USA,United States of America,29
2005,ERT,Eritrea,ARE,Egypt,AUS,Australia,18
2005,SUD,Sudan,SYR,Syrian Arab Rep.,SWE,Sweden,6
2005,All others,All others,All others,All others,USA,United States of America,5271
2005,AFG,Afghanistan,LEB,Lebanon,USA,United States of America,2
2005,All others,All others,All others,All others,ARG,Argentina,60
2005,SUD,Sudan,ARE,Egypt,AUS,Australia,474
2005,SUD,Sudan,ARE,Egypt,SWE,Sweden,1
2005,SOM,Somalia,SYR,Syrian Arab Rep.,GBR,United Kingdom of Great Britain and Northern Ireland,3
2005,ERT,Eritrea,SYR,Syrian Arab Rep.,USA,United States of America,1
2005,SOM,Somalia,SYR,Syrian Arab Rep.,AUS,Australia,15
2005,All others,All others,All others,All others,FIN,Finland,428
2005,SYR,Syrian Arab Rep.,UAE,United Arab Emirates,SWE,Sweden,4
2005,ERT,Eritrea,SYR,Syrian Arab Rep.,CAN,Canada,6
2005,IRQ,Iraq,LEB,Lebanon,SWE,Sweden,135
2005,SOM,Somalia,ARE,Egypt,SWE,Sweden,1
2005,All others,All others,All others,All others,AUS,Australia,2196
2005,SYR,Syrian Arab Rep.,SAU,Saudi Arabia,USA,United States of America,5
2005,SYR,Syrian Arab Rep.,UAE,United Arab Emirates,FIN,Finland,4
2005,SOM,Somalia,ARE,Egypt,CAN,Canada,16
2005,IRQ,Iraq,LEB,Lebanon,USA,United States of America,142
2005,All others,All others,All others,All others,FRA,France,3
2005,SOM,Somalia,LEB,Lebanon,SWE,Sweden,5
2005,SUD,Sudan,LEB,Lebanon,SWE,Sweden,37
2005,IRQ,Iraq,LEB,Lebanon,NLD,Netherlands,14
2005,SOM,Somalia,SYR,Syrian Arab Rep.,IRL,Ireland,9
2005,All others,All others,All others,All others,BEL,Belgium,3
2005,IRQ,Iraq,LEB,Lebanon,DNK,Denmark,6
2005,SUD,Sudan,SAU,Saudi Arabia,DNK,Denmark,10
2005,COD,Dem. Rep. of the Congo,LEB,Lebanon,CAN,Canada,4
2005,SYR,Syrian Arab Rep.,UAE,United Arab Emirates,CAN,Canada,4
2005,AFG,Afghanistan,SYR,Syrian Arab Rep.,CAN,Canada,31
2005,AFG,Afghanistan,SYR,Syrian Arab Rep.,NOR,Norway,9
2005,SOM,Somalia,SYR,Syrian Arab Rep.,SWE,Sweden,15
2005,IRQ,Iraq,SYR,Syrian Arab Rep.,CAN,Canada,34
2005,All others,All others,All others,All others,GBR,United Kingdom of Great Britain and Northern Ireland,13
2005,IRQ,Iraq,SYR,Syrian Arab Rep.,NZL,New Zealand,25
2005,SUD,Sudan,LEB,Lebanon,CAN,Canada,18
2005,IRQ,Iraq,LEB,Lebanon,GBR,United Kingdom of Great Britain and Northern Ireland,7
2005,All others,All others,All others,All others,BRA,Brazil,171
2005,SUD,Sudan,SAU,Saudi Arabia,GBR,United Kingdom of Great Britain and Northern Ireland,10
2005,SUD,Sudan,SYR,Syrian Arab Rep.,DNK,Denmark,6
2005,All others,All others,All others,All others,IRL,Ireland,70
2005,SOM,Somalia,SYR,Syrian Arab Rep.,NLD,Netherlands,1
2005,IRQ,Iraq,UAE,United Arab Emirates,USA,United States of America,4
2005,All others,All others,All others,All others,CAN,Canada,1375
2005,IRQ,Iraq,LEB,Lebanon,NOR,Norway,4
2005,SUD,Sudan,SAU,Saudi Arabia,NLD,Netherlands,10
2005,AFG,Afghanistan,LEB,Lebanon,AUS,Australia,2
2005,SOM,Somalia,ARE,Egypt,USA,United States of America,1144
2005,All others,All others,All others,All others,ISL,Iceland,62
2005,IRQ,Iraq,JOR,Jordan,NZL,New Zealand,8
2005,SOM,Somalia,LEB,Lebanon,CAN,Canada,4
2005,IRQ,Iraq,LEB,Lebanon,AUS,Australia,225
2005,SOM,Somalia,ARE,Egypt,AUS,Australia,8
2005,All others,All others,All others,All others,CHE,Switzerland,21
2005,IRQ,Iraq,SYR,Syrian Arab Rep.,SWE,Sweden,25
2005,All others,All others,All others,All others,ITA,Italy,2
2005,SOM,Somalia,LEB,Lebanon,USA,United States of America,2
2005,IRQ,Iraq,SYR,Syrian Arab Rep.,GBR,United Kingdom of Great Britain and Northern Ireland,2
2005,SUD,Sudan,SYR,Syrian Arab Rep.,CAN,Canada,14
2005,AFG,Afghanistan,SYR,Syrian Arab Rep.,AUS,Australia,70
2005,SUD,Sudan,ARE,Egypt,CAN,Canada,421
2005,All others,All others,All others,All others,CHL,Chile,75
2005,IRQ,Iraq,SYR,Syrian Arab Rep.,DNK,Denmark,2
2005,All others,All others,All others,All others,NLD,Netherlands,625
2005,SUD,Sudan,LEB,Lebanon,AUS,Australia,24
2005,ERT,Eritrea,SAU,Saudi Arabia,USA,United States of America,215
2005,ERT,Eritrea,SYR,Syrian Arab Rep.,SWE,Sweden,3
2005,ERT,Eritrea,ARE,Egypt,CAN,Canada,5
2005,All others,All others,All others,All others,CZE,Czechia,40
2005,All others,All others,All others,All others,NOR,Norway,219
2005,IRQ,Iraq,JOR,Jordan,AUS,Australia,62
2005,ERT,Eritrea,LEB,Lebanon,SWE,Sweden,2
2005,AFG,Afghanistan,LEB,Lebanon,NLD,Netherlands,1
2005,SOM,Somalia,SYR,Syrian Arab Rep.,CAN,Canada,34
2005,SUD,Sudan,SYR,Syrian Arab Rep.,NZL,New Zealand,9
2005,SUD,Sudan,ARE,Egypt,USA,United States of America,1723
2005,SUD,Sudan,SYR,Syrian Arab Rep.,GBR,United Kingdom of Great Britain and Northern Ireland,1
2005,IRQ,Iraq,JOR,Jordan,USA,United States of America,48
2005,ERT,Eritrea,ARE,Egypt,USA,United States of America,30
2005,All others,All others,All others,All others,DEU,Germany,25
2005,IRQ,Iraq,JOR,Jordan,CAN,Canada,7
2005,SOM,Somalia,LEB,Lebanon,AUS,Australia,11
2005,SUD,Sudan,ARE,Egypt,NLD,Netherlands,7
2005,All others,All others,All others,All others,NZL,New Zealand,38
2005,AFG,Afghanistan,SYR,Syrian Arab Rep.,SWE,Sweden,41
2005,SYR,Syrian Arab Rep.,UAE,United Arab Emirates,USA,United States of America,30
2005,IRQ,Iraq,SYR,Syrian Arab Rep.,AUS,Australia,1
2005,SUD,Sudan,SYR,Syrian Arab Rep.,NLD,Netherlands,1
2005,IRQ,Iraq,LEB,Lebanon,CAN,Canada,82
2005,All others,All others,All others,All others,DNK,Denmark,169
2005,AFG,Afghanistan,LEB,Lebanon,CAN,Canada,8
2005,SUD,Sudan,LEB,Lebanon,USA,United States of America,13
2005,All others,All others,All others,All others,SWE,Sweden,655
2005,SOM,Somalia,SYR,Syrian Arab Rep.,USA,United States of America,166
2005,SOM,Somalia,SYR,Syrian Arab Rep.,NOR,Norway,6
2005,SUD,Sudan,SYR,Syrian Arab Rep.,USA,United States of America,45
2005,All others,All others,All others,All others,ESP,Spain,11
2005,SOM,Somalia,LEB,Lebanon,NZL,New Zealand,1
2005,IRQ,Iraq,LEB,Lebanon,FIN,Finland,6
2006,ERT,Eritrea,UAE,United Arab Emirates,NOR,Norway,1
2006,SYR,Syrian Arab Rep.,ARE,Egypt,USA,United States of America,1
2006,All others,All others,All others,All others,NOR,Norway,268
2006,SOM,Somalia,SYR,Syrian Arab Rep.,USA,United States of America,251
2006,SOM,Somalia,SYR,Syrian Arab Rep.,NOR,Norway,4
2006,SUD,Sudan,UAE,United Arab Emirates,CAN,Canada,4
2006,SUD,Sudan,SYR,Syrian Arab Rep.,USA,United States of America,76
2006,All others,All others,All others,All others,CHE,Switzerland,7
2006,SOM,Somalia,JOR,Jordan,USA,United States of America,3
2006,IRQ,Iraq,LEB,Lebanon,FIN,Finland,1
2006,IRQ,Iraq,JOR,Jordan,DNK,Denmark,3
2006,SUD,Sudan,SYR,Syrian Arab Rep.,SWE,Sweden,7
2006,COD,Dem. Rep. of the Congo,ALG,Algeria,USA,United States of America,52
2006,All others,All others,All others,All others,ARG,Argentina,94
2006,All others,All others,All others,All others,NZL,New Zealand,81
2006,SUD,Sudan,SAU,Saudi Arabia,AUS,Australia,7
2006,COD,Dem. Rep. of the Congo,JOR,Jordan,USA,United States of America,7
2006,SUD,Sudan,ARE,Egypt,AUS,Australia,22
2006,All others,All others,All others,All others,CHL,Chile,34
2006,SUD,Sudan,ARE,Egypt,SWE,Sweden,1
2006,SOM,Somalia,SYR,Syrian Arab Rep.,GBR,United Kingdom of Great Britain and Northern Ireland,24
2006,ERT,Eritrea,SYR,Syrian Arab Rep.,USA,United States of America,3
2006,SOM,Somalia,SYR,Syrian Arab Rep.,AUS,Australia,5
2006,IRQ,Iraq,KUW,Kuwait,USA,United States of America,18
2006,ERT,Eritrea,SYR,Syrian Arab Rep.,CAN,Canada,2
2006,All others,All others,All others,All others,AUS,Australia,2137
2006,IRQ,Iraq,LEB,Lebanon,SWE,Sweden,83
2006,All others,All others,All others,All others,SWE,Sweden,1051
2006,IRQ,Iraq,KUW,Kuwait,CAN,Canada,6
2006,SOM,Somalia,LEB,Lebanon,SWE,Sweden,6
2006,All others,All others,All others,All others,CZE,Czechia,1
2006,IRQ,Iraq,SAU,Saudi Arabia,AUS,Australia,18
2006,SOM,Somalia,YEM,Yemen,DNK,Denmark,1
2006,SOM,Somalia,ARE,Egypt,CAN,Canada,21
2006,IRQ,Iraq,LEB,Lebanon,USA,United States of America,12
2006,SUD,Sudan,LEB,Lebanon,SWE,Sweden,10
2006,ERT,Eritrea,UAE,United Arab Emirates,USA,United States of America,2
2006,IRQ,Iraq,SAU,Saudi Arabia,USA,United States of America,4
2006,SOM,Somalia,YEM,Yemen,GBR,United Kingdom of Great Britain and Northern Ireland,3
2006,SOM,Somalia,YEM,Yemen,USA,United States of America,432
2006,All others,All others,All others,All others,BEL,Belgium,7
2006,ERT,Eritrea,LBY,Libya,CAN,Canada,1
2006,All others,All others,All others,All others,USA,United States of America,7755
2006,IRQ,Iraq,LEB,Lebanon,DNK,Denmark,1
2006,SOM,Somalia,SYR,Syrian Arab Rep.,FIN,Finland,4
2006,AFG,Afghanistan,UAE,United Arab Emirates,USA,United States of America,4
2006,AFG,Afghanistan,SYR,Syrian Arab Rep.,CAN,Canada,13
2006,SUD,Sudan,UAE,United Arab Emirates,USA,United States of America,4
2006,All others,All others,All others,All others,DEU,Germany,11
2006,ERT,Eritrea,ALG,Algeria,USA,United States of America,1
2006,SUD,Sudan,SYR,Syrian Arab Rep.,NOR,Norway,4
2006,SOM,Somalia,SYR,Syrian Arab Rep.,SWE,Sweden,44
2006,IRQ,Iraq,LEB,Lebanon,GBR,United Kingdom of Great Britain and Northern Ireland,1
2006,IRQ,Iraq,LBY,Libya,GBR,United Kingdom of Great Britain and Northern Ireland,4
2006,SUD,Sudan,SYR,Syrian Arab Rep.,DNK,Denmark,4
2006,All others,All others,All others,All others,DNK,Denmark,104
2006,IRQ,Iraq,UAE,United Arab Emirates,USA,United States of America,3
2006,SOM,Somalia,SYR,Syrian Arab Rep.,NLD,Netherlands,9
2006,SUD,Sudan,ARE,Egypt,NOR,Norway,1
2006,SYR,Syrian Arab Rep.,ARE,Egypt,GBR,United Kingdom of Great Britain and Northern Ireland,1
2006,IRQ,Iraq,LEB,Lebanon,NOR,Norway,7
2006,IRQ,Iraq,JOR,Jordan,NOR,Norway,1
2006,SUD,Sudan,SAU,Saudi Arabia,USA,United States of America,17
2006,SUD,Sudan,SYR,Syrian Arab Rep.,FIN,Finland,4
2006,SOM,Somalia,ARE,Egypt,USA,United States of America,68
2006,All others,All others,All others,All others,FIN,Finland,224
2006,IRQ,Iraq,JOR,Jordan,SWE,Sweden,3
2006,SOM,Somalia,YEM,Yemen,NLD,Netherlands,2
2006,IRQ,Iraq,SYR,Syrian Arab Rep.,SWE,Sweden,21
2006,IRQ,Iraq,LEB,Lebanon,AUS,Australia,87
2006,SOM,Somalia,YEM,Yemen,CAN,Canada,16
2006,SOM,Somalia,ARE,Egypt,AUS,Australia,8
2006,SYR,Syrian Arab Rep.,IRQ,Iraq,BEL,Belgium,1
2006,SUD,Sudan,SYR,Syrian Arab Rep.,AUS,Australia,4
2006,SOM,Somalia,LEB,Lebanon,USA,United States of America,4
2006,All others,All others,All others,All others,FRA,France,1
2006,IRQ,Iraq,YEM,Yemen,NLD,Netherlands,1
2006,IRQ,Iraq,SYR,Syrian Arab Rep.,GBR,United Kingdom of Great Britain and Northern Ireland,2
2006,SUD,Sudan,SYR,Syrian Arab Rep.,CAN,Canada,8
2006,AFG,Afghanistan,SYR,Syrian Arab Rep.,USA,United States of America,13
2006,AFG,Afghanistan,SYR,Syrian Arab Rep.,AUS,Australia,5
2006,SUD,Sudan,ARE,Egypt,CAN,Canada,39
2006,SUD,Sudan,ARE,Egypt,FIN,Finland,1
2006,SOM,Somalia,SYR,Syrian Arab Rep.,NZL,New Zealand,5
2006,SOM,Somalia,LEB,Lebanon,NLD,Netherlands,1
2006,SUD,Sudan,LEB,Lebanon,AUS,Australia,9
2006,All others,All others,All others,All others,GBR,United Kingdom of Great Britain and Northern Ireland,356
2006,IRQ,Iraq,YEM,Yemen,NOR,Norway,1
2006,ERT,Eritrea,BAH,Bahrain,GBR,United Kingdom of Great Britain and Northern Ireland,1
2006,COD,Dem. Rep. of the Congo,ALG,Algeria,NZL,New Zealand,6
2006,IRQ,Iraq,LBY,Libya,CAN,Canada,4
2006,SYR,Syrian Arab Rep.,LEB,Lebanon,AUS,Australia,5
2006,IRQ,Iraq,JOR,Jordan,GBR,United Kingdom of Great Britain and Northern Ireland,4
2006,IRQ,Iraq,JOR,Jordan,AUS,Australia,95
2006,IRQ,Iraq,ARE,Egypt,AUS,Australia,6
2006,All others,All others,All others,All others,IRL,Ireland,28
2006,SOM,Somalia,SYR,Syrian Arab Rep.,CAN,Canada,12
2006,SOM,Somalia,SYR,Syrian Arab Rep.,DNK,Denmark,1
2006,SUD,Sudan,ARE,Egypt,USA,United States of America,33
2006,IRQ,Iraq,JOR,Jordan,USA,United States of America,80
2006,ERT,Eritrea,ARE,Egypt,USA,United States of America,2
2006,All others,All others,All others,All others,BRA,Brazil,95
